schema_version,case_id,scenario,payload_mass_kg,fault,expected_status,expected_failure_stage,status,reason,failure_stage,failure_index,expected_match,policy_actions_executable,policy_action_count,qp_feasible,qp_intervention_steps,qp_fallback_steps,continuous_edges_checked,continuous_rejection_status,continuous_pair_evaluations,conservative_rejection,braking_boundaries_checked,braking_invariant_complete,fallback_validated,fallback_failure_reason,goal_distance_before_rad,goal_distance_after_rad,task_progress_rad,max_inverse_dynamics_torque_ratio,total_latency_ms,qp_latency_ms,continuous_collision_latency_ms,dynamics_braking_latency_ms,fallback_brake_latency_ms
armbench.integrated_panda_fault_matrix.v1,single_block__payload_0.0kg__stale_response,single_block,0.0,stale_response,verified_brake,deadline,verified_brake,response_deadline_exceeded_before_supervision,deadline,,True,False,0,,0,0,0,,0,False,0,True,True,,2.65329983228432,2.65329983228432,0.0,0.3112481036896167,26.650700000573124,0.0,0.0,0.0,26.571299999886833
armbench.integrated_panda_fault_matrix.v1,single_block__payload_0.0kg__state_mismatch,single_block,0.0,state_mismatch,hold,state_alignment,hold,observation_state_mismatch,state_alignment,,True,False,0,,0,0,0,,0,False,0,True,True,,2.65329983228432,2.65329983228432,0.0,0.31122557423036984,7.862399999794434,0.0,0.0,0.0,7.762000000184344
armbench.integrated_panda_fault_matrix.v1,single_block__payload_0.5kg__nominal,single_block,0.5,nominal,accepted,,accepted,qp_continuous_collision_and_braking_invariant_passed,,,True,True,3,True,3,0,3,,1935,False,3,True,,,2.65329983228432,2.625345372095671,0.02795446018864922,0.3452956414522304,119.2101000006005,14.062100000046485,19.723899999917194,85.39240000027348,0.0
armbench.integrated_panda_fault_matrix.v1,single_block__payload_0.5kg__velocity_spike,single_block,0.5,velocity_spike,accepted,,accepted,qp_continuous_collision_and_braking_invariant_passed,,,True,True,3,True,3,0,3,,9245,False,3,True,,,2.65329983228432,2.461579777316945,0.1917200549673752,0.3488637817837016,551.8411000002743,24.791199999526725,142.92790000035893,384.0817000000243,0.0
armbench.integrated_panda_fault_matrix.v1,single_block__payload_0.5kg__stale_response,single_block,0.5,stale_response,verified_brake,deadline,verified_brake,response_deadline_exceeded_before_supervision,deadline,,True,False,0,,0,0,0,,0,False,0,True,True,,2.65329983228432,2.65329983228432,0.0,0.34486679653424696,56.15209999996296,0.0,0.0,0.0,56.09400000048481
armbench.integrated_panda_fault_matrix.v1,single_block__payload_0.5kg__state_mismatch,single_block,0.5,state_mismatch,hold,state_alignment,hold,observation_state_mismatch,state_alignment,,True,False,0,,0,0,0,,0,False,0,True,True,,2.65329983228432,2.65329983228432,0.0,0.3448373222373399,10.18000000021857,0.0,0.0,0.0,10.084599999572674
armbench.integrated_panda_fault_matrix.v1,narrow_gate__payload_0.0kg__nominal,narrow_gate,0.0,nominal,accepted,,accepted,qp_continuous_collision_and_braking_invariant_passed,,,True,True,3,True,3,0,3,,2268,False,3,True,,,2.65329983228432,2.625345372095671,0.02795446018864922,0.3115754551656823,165.91129999960685,27.818700000352692,44.8699000007764,93.16860000035376,0.0
armbench.integrated_panda_fault_matrix.v1,narrow_gate__payload_0.0kg__velocity_spike,narrow_gate,0.0,velocity_spike,accepted,,accepted,qp_continuous_collision_and_braking_invariant_passed,,,True,True,3,True,3,0,3,,10836,False,3,True,,,2.65329983228432,2.461579777316945,0.1917200549673752,0.31331314171560026,516.9434999997975,14.308599999822036,93.92740000021149,408.63850000005186,0.0
armbench.integrated_panda_fault_matrix.v1,narrow_gate__payload_0.0kg__stale_response,narrow_gate,0.0,stale_response,verified_brake,deadline,verified_brake,response_deadline_exceeded_before_supervision,deadline,,True,False,0,,0,0,0,,0,False,0,True,True,,2.65329983228432,2.65329983228432,0.0,0.3112481036896167,39.903200000480865,0.0,0.0,0.0,39.82519999954093
armbench.integrated_panda_fault_matrix.v1,narrow_gate__payload_0.0kg__state_mismatch,narrow_gate,0.0,state_mismatch,hold,state_alignment,hold,observation_state_mismatch,state_alignment,,True,False,0,,0,0,0,,0,False,0,True,True,,2.65329983228432,2.65329983228432,0.0,0.31122557423036984,6.651000000601925,0.0,0.0,0.0,6.563500000083877
armbench.integrated_panda_fault_matrix.v1,narrow_gate__payload_0.5kg__nominal,narrow_gate,0.5,nominal,accepted,,accepted,qp_continuous_collision_and_braking_invariant_passed,,,True,True,3,True,3,0,3,,2367,False,3,True,,,2.65329983228432,2.625345372095671,0.02795446018864922,0.3452956414522304,205.42649999970308,48.09500000010303,25.47450000020035,131.77819999964413,0.0
armbench.integrated_panda_fault_matrix.v1,narrow_gate__payload_0.5kg__velocity_spike,narrow_gate,0.5,velocity_spike,accepted,,accepted,qp_continuous_collision_and_braking_invariant_passed,,,True,True,3,True,3,0,3,,11309,False,3,True,,,2.65329983228432,2.461579777316945,0.1917200549673752,0.3488637817837016,569.6103999998741,17.75920000000042,168.21320000053674,383.59420000051614,0.0
armbench.integrated_panda_fault_matrix.v1,narrow_gate__payload_0.5kg__stale_response,narrow_gate,0.5,stale_response,verified_brake,deadline,verified_brake,response_deadline_exceeded_before_supervision,deadline,,True,False,0,,0,0,0,,0,False,0,True,True,,2.65329983228432,2.65329983228432,0.0,0.34486679653424696,26.727099999334314,0.0,0.0,0.0,26.628300000083982
armbench.integrated_panda_fault_matrix.v1,narrow_gate__payload_0.5kg__state_mismatch,narrow_gate,0.5,state_mismatch,hold,state_alignment,hold,observation_state_mismatch,state_alignment,,True,False,0,,0,0,0,,0,False,0,True,True,,2.65329983228432,2.65329983228432,0.0,0.3448373222373399,5.0795999995898455,0.0,0.0,0.0,5.027500000323926
armbench.integrated_panda_fault_matrix.v1,free_space__payload_0.0kg__intermediate_self_collision,free_space,0.0,intermediate_self_collision,hold,continuous_collision,hold,continuous_edge_rejected:collision:self:left_finger:geom_69:right_finger:geom_76,continuous_collision,87,True,False,0,True,120,0,88,collision,138868,False,0,True,True,,6.542662998515165,6.542662998515165,0.0,0.47317947835612245,2972.395200000392,703.4169999997175,2262.4071000000185,0.0,6.4538000005995855
armbench.integrated_panda_fault_matrix.v1,free_space__payload_0.0kg__near_limit_stop,free_space,0.0,near_limit_stop,unrecoverable_stop,deadline,unrecoverable_stop,response_deadline_exceeded_before_supervision,deadline,,True,False,0,,0,0,0,,0,False,0,False,False,joint_position_limit:joint1,6.310632210008756,6.310632210008756,0.0,0.7606929266466051,6.134899999779009,0.0,0.0,0.0,6.045000000085565
armbench.integrated_panda_fault_matrix.v1,free_space__payload_0.5kg__near_limit_stop,free_space,0.5,near_limit_stop,unrecoverable_stop,deadline,unrecoverable_stop,response_deadline_exceeded_before_supervision,deadline,,True,False,0,,0,0,0,,0,False,0,False,False,joint_position_limit:joint1,6.310632210008756,6.310632210008756,0.0,0.8211352273240299,7.163199999922654,0.0,0.0,0.0,7.089499999892723
