case_id,selection_index,source_row_index,task_suite,task_id,method,pair_id,episode_id,episode_index,query_index,scenario,response_action_sha256,horizon,inference_latency_ms,policy_inference_latency_ms,server_inference_latency_ms,input_max_abs,input_clipped_steps,velocity_limited_steps,adapter_max_residual_norm,adapter_min_singular_value,adapter_latency_ms,raw_path_safe,deadline_exceeded,fallback_latched,fallback_reason,unsafe_raw_steps,intervention_steps,hold_steps,slew_limited_steps,acceleration_override_steps,max_raw_acceleration_rad_s2,max_guarded_acceleration_rad_s2,guard_latency_ms,safe_after_guard,guarded_path_safe,raw_hand_displacement_m,guarded_hand_displacement_m
row_00052__single_block,3,52,libero_10,0,projected_overlap,libero_10__task_00__episode_02,libero_10__task_00__episode_02__projected_overlap,2,4,single_block,c1af1b1d35e857c8f84f24b1176750295b5443f38a199b4844286541367b800a,10,79.29393599624746,55.68678599956911,78.55986199865583,1.0040019750595093,8,1,0.037460941986849884,0.21743772198345124,2.384799998253584,True,False,False,,1,1,0,1,0,20.870940523107777,15.0,7.366499994532205,True,True,0.2045625691506247,0.20004610267513642
row_00052__narrow_gate,3,52,libero_10,0,projected_overlap,libero_10__task_00__episode_02,libero_10__task_00__episode_02__projected_overlap,2,4,narrow_gate,c1af1b1d35e857c8f84f24b1176750295b5443f38a199b4844286541367b800a,10,79.29393599624746,55.68678599956911,78.55986199865583,1.0040019750595093,8,1,0.037460941986849884,0.21743772198345124,2.4107999925035983,True,False,False,,1,1,0,1,0,20.870940523107777,15.0,7.095900000422262,True,True,0.2045625691506247,0.20004610267513642
row_00150__free_space,4,150,libero_10,0,projected_overlap,libero_10__task_00__episode_03,libero_10__task_00__episode_03__projected_overlap,3,4,free_space,b9adaa537a2f2ce180a3fb45e59deeda5f17d14a1fe276b5bc23d7fc25e1efc0,10,103.0112279986497,54.44305800483562,79.5118870009901,1.0043681859970093,10,0,0.012755924563901492,0.21152647751662534,2.409199994872324,True,False,False,,1,1,0,1,0,21.138647649340843,15.0,6.656499987002462,True,True,0.26495212764439796,0.26005388791693607
row_00150__single_block,4,150,libero_10,0,projected_overlap,libero_10__task_00__episode_03,libero_10__task_00__episode_03__projected_overlap,3,4,single_block,b9adaa537a2f2ce180a3fb45e59deeda5f17d14a1fe276b5bc23d7fc25e1efc0,10,103.0112279986497,54.44305800483562,79.5118870009901,1.0043681859970093,10,0,0.012755924563901492,0.21152647751662534,2.4105000047711655,True,False,False,,1,1,0,1,0,21.138647649340843,15.0,6.711800000630319,True,True,0.26495212764439796,0.26005388791693607
row_00150__narrow_gate,4,150,libero_10,0,projected_overlap,libero_10__task_00__episode_03,libero_10__task_00__episode_03__projected_overlap,3,4,narrow_gate,b9adaa537a2f2ce180a3fb45e59deeda5f17d14a1fe276b5bc23d7fc25e1efc0,10,103.0112279986497,54.44305800483562,79.5118870009901,1.0043681859970093,10,0,0.012755924563901492,0.21152647751662534,2.2219999955268577,True,False,False,,1,1,0,1,0,21.138647649340843,15.0,6.7851000057999045,True,True,0.26495212764439796,0.26005388791693607
row_00154__free_space,5,154,libero_10,0,projected_overlap,libero_10__task_00__episode_03,libero_10__task_00__episode_03__projected_overlap,3,8,free_space,cdcbe08ef8154f621660984e7a5e8d85e83bf132d95156b57af018ff2fd5d341,10,79.73966300050961,55.60350199812092,79.06638600252336,1.0039373636245728,8,10,0.35218613608340416,0.203249464692743,2.318900005775504,True,False,False,,1,1,0,1,0,21.749999999999996,15.0,8.713000002899207,True,True,0.16084957644984182,0.1532077912254153
row_00154__single_block,5,154,libero_10,0,projected_overlap,libero_10__task_00__episode_03,libero_10__task_00__episode_03__projected_overlap,3,8,single_block,cdcbe08ef8154f621660984e7a5e8d85e83bf132d95156b57af018ff2fd5d341,10,79.73966300050961,55.60350199812092,79.06638600252336,1.0039373636245728,8,10,0.35218613608340416,0.203249464692743,2.1926000044913962,True,False,False,,1,1,0,1,0,21.749999999999996,15.0,6.85910000174772,True,True,0.16084957644984182,0.1532077912254153
row_00154__narrow_gate,5,154,libero_10,0,projected_overlap,libero_10__task_00__episode_03,libero_10__task_00__episode_03__projected_overlap,3,8,narrow_gate,cdcbe08ef8154f621660984e7a5e8d85e83bf132d95156b57af018ff2fd5d341,10,79.73966300050961,55.60350199812092,79.06638600252336,1.0039373636245728,8,10,0.35218613608340416,0.203249464692743,2.1307999995769933,True,False,False,,1,1,0,1,0,21.749999999999996,15.0,8.501700009219348,True,True,0.16084957644984182,0.1532077912254153
row_00124__free_space,6,124,libero_10,0,rtc_guided_overlap,libero_10__task_00__episode_02,libero_10__task_00__episode_02__rtc_guided_overlap,2,26,free_space,5bf47acc643566f2a5a37ec6ff337191064361171cf3037d662746a96496a20b,10,107.67478600610048,71.61689700296847,106.94594799861079,0.9992131590843201,0,9,0.24478784905733567,0.17261396561914694,2.405799998086877,True,False,False,,1,1,0,1,0,17.9063758351945,15.0,8.043100009672344,True,True,0.11875003901090728,0.11632329934392385
row_00124__single_block,6,124,libero_10,0,rtc_guided_overlap,libero_10__task_00__episode_02,libero_10__task_00__episode_02__rtc_guided_overlap,2,26,single_block,5bf47acc643566f2a5a37ec6ff337191064361171cf3037d662746a96496a20b,10,107.67478600610048,71.61689700296847,106.94594799861079,0.9992131590843201,0,9,0.24478784905733567,0.17261396561914694,2.2717999963788316,True,False,False,,1,1,0,1,0,17.9063758351945,15.0,6.849199999123812,True,True,0.11875003901090728,0.11632329934392385
row_00124__narrow_gate,6,124,libero_10,0,rtc_guided_overlap,libero_10__task_00__episode_02,libero_10__task_00__episode_02__rtc_guided_overlap,2,26,narrow_gate,5bf47acc643566f2a5a37ec6ff337191064361171cf3037d662746a96496a20b,10,107.67478600610048,71.61689700296847,106.94594799861079,0.9992131590843201,0,9,0.24478784905733567,0.17261396561914694,2.198400004999712,True,False,False,,1,1,0,1,0,17.9063758351945,15.0,6.585600000107661,True,True,0.11875003901090728,0.11632329934392385
row_00236__free_space,7,236,libero_10,0,rtc_guided_overlap,libero_10__task_00__episode_03,libero_10__task_00__episode_03__rtc_guided_overlap,3,36,free_space,ba5eb25376b5fdcec587bc80d0ee8486f21952462444e7617b8a91c317718ba6,10,110.22575900278753,71.65045199508313,107.2022599983029,1.004539132118225,8,7,0.08815291255906611,0.21663752118378302,2.2483999928226694,True,False,False,,1,1,0,1,0,22.5596103715929,15.0,6.6968999890377745,True,True,0.29166885926200353,0.2856748939530496
row_00236__single_block,7,236,libero_10,0,rtc_guided_overlap,libero_10__task_00__episode_03,libero_10__task_00__episode_03__rtc_guided_overlap,3,36,single_block,ba5eb25376b5fdcec587bc80d0ee8486f21952462444e7617b8a91c317718ba6,10,110.22575900278753,71.65045199508313,107.2022599983029,1.004539132118225,8,7,0.08815291255906611,0.21663752118378302,2.3464999976567924,True,False,False,,1,1,0,1,0,22.5596103715929,15.0,6.62200000078883,True,True,0.29166885926200353,0.2856748939530496
row_00236__narrow_gate,7,236,libero_10,0,rtc_guided_overlap,libero_10__task_00__episode_03,libero_10__task_00__episode_03__rtc_guided_overlap,3,36,narrow_gate,ba5eb25376b5fdcec587bc80d0ee8486f21952462444e7617b8a91c317718ba6,10,110.22575900278753,71.65045199508313,107.2022599983029,1.004539132118225,8,7,0.08815291255906611,0.21663752118378302,2.6837000041268766,True,False,False,,1,1,0,1,0,22.5596103715929,15.0,6.818099995143712,True,True,0.29166885926200353,0.2856748939530496
row_00734__free_space,8,734,libero_10,0,rtc_guided_overlap,libero_10__task_00__episode_06,libero_10__task_00__episode_06__rtc_guided_overlap,6,36,free_space,c52d4aac674e2dd19ab09880242078dd22bde949b6c0318d0d753318d311345d,10,136.76659500197275,71.21336700220127,106.38235900114523,1.0053240060806274,8,8,0.22110684074061254,0.21143632218711006,2.382399994530715,True,False,False,,1,1,0,1,0,21.749999999999996,15.0,6.534500003908761,True,True,0.2859179768219576,0.27925955705148925
row_00734__single_block,8,734,libero_10,0,rtc_guided_overlap,libero_10__task_00__episode_06,libero_10__task_00__episode_06__rtc_guided_overlap,6,36,single_block,c52d4aac674e2dd19ab09880242078dd22bde949b6c0318d0d753318d311345d,10,136.76659500197275,71.21336700220127,106.38235900114523,1.0053240060806274,8,8,0.22110684074061254,0.21143632218711006,2.2738999978173524,True,False,False,,1,1,0,1,0,21.749999999999996,15.0,6.963699997868389,True,True,0.2859179768219576,0.27925955705148925
row_00734__narrow_gate,8,734,libero_10,0,rtc_guided_overlap,libero_10__task_00__episode_06,libero_10__task_00__episode_06__rtc_guided_overlap,6,36,narrow_gate,c52d4aac674e2dd19ab09880242078dd22bde949b6c0318d0d753318d311345d,10,136.76659500197275,71.21336700220127,106.38235900114523,1.0053240060806274,8,8,0.22110684074061254,0.21143632218711006,2.879400009987876,True,False,False,,1,1,0,1,0,21.749999999999996,15.0,6.74720000824891,True,True,0.2859179768219576,0.27925955705148925
row_00900__free_space,9,900,libero_10,1,overlap_unconditioned,libero_10__task_01__episode_02,libero_10__task_01__episode_02__overlap_unconditioned,2,43,free_space,a6df8e7cecfed274877f98e9b6f802eae438f3a44a2f81b9772749a456bdff04,10,78.42755500314524,54.642975999740884,77.54367300367448,1.00558602809906,10,9,0.5869733749755467,0.20327592700526237,2.208799996878952,True,False,False,,1,1,0,1,0,21.749999999999996,15.0,7.4068999965675175,True,True,0.16281960764735479,0.1551595739636407
row_00900__single_block,9,900,libero_10,1,overlap_unconditioned,libero_10__task_01__episode_02,libero_10__task_01__episode_02__overlap_unconditioned,2,43,single_block,a6df8e7cecfed274877f98e9b6f802eae438f3a44a2f81b9772749a456bdff04,10,78.42755500314524,54.642975999740884,77.54367300367448,1.00558602809906,10,9,0.5869733749755467,0.20327592700526237,2.136600000085309,True,False,False,,1,1,0,1,0,21.749999999999996,15.0,6.465000013122335,True,True,0.16281960764735479,0.1551595739636407
row_00900__narrow_gate,9,900,libero_10,1,overlap_unconditioned,libero_10__task_01__episode_02,libero_10__task_01__episode_02__overlap_unconditioned,2,43,narrow_gate,a6df8e7cecfed274877f98e9b6f802eae438f3a44a2f81b9772749a456bdff04,10,78.42755500314524,54.642975999740884,77.54367300367448,1.00558602809906,10,9,0.5869733749755467,0.20327592700526237,2.1190999977989122,True,False,False,,1,1,0,1,0,21.749999999999996,15.0,6.970599992200732,True,True,0.16281960764735479,0.1551595739636407
row_00987__free_space,10,987,libero_10,1,overlap_unconditioned,libero_10__task_01__episode_03,libero_10__task_01__episode_03__overlap_unconditioned,3,15,free_space,1a4c541cd6dce34826c4a02e5a2f906f432194c542ec446b5787d11bce6c60f8,10,79.19176799623528,56.123595000826754,78.42695400177035,1.004254698753357,9,10,0.7633081694922279,0.1712679692885471,2.195599998231046,True,False,False,,1,1,0,1,0,21.749999999999996,15.0,6.409099994925782,True,True,0.15680633679858705,0.1500564139635808
row_00987__single_block,10,987,libero_10,1,overlap_unconditioned,libero_10__task_01__episode_03,libero_10__task_01__episode_03__overlap_unconditioned,3,15,single_block,1a4c541cd6dce34826c4a02e5a2f906f432194c542ec446b5787d11bce6c60f8,10,79.19176799623528,56.123595000826754,78.42695400177035,1.004254698753357,9,10,0.7633081694922279,0.1712679692885471,2.2354000102495775,True,False,False,,1,1,0,1,0,21.749999999999996,15.0,7.379699993180111,True,True,0.15680633679858705,0.1500564139635808
row_00987__narrow_gate,10,987,libero_10,1,overlap_unconditioned,libero_10__task_01__episode_03,libero_10__task_01__episode_03__overlap_unconditioned,3,15,narrow_gate,1a4c541cd6dce34826c4a02e5a2f906f432194c542ec446b5787d11bce6c60f8,10,79.19176799623528,56.123595000826754,78.42695400177035,1.004254698753357,9,10,0.7633081694922279,0.1712679692885471,2.341100000194274,True,False,False,,1,1,0,1,0,21.749999999999996,15.0,6.293500002357177,True,True,0.15680633679858705,0.1500564139635808
row_01440__free_space,11,1440,libero_10,1,overlap_unconditioned,libero_10__task_01__episode_06,libero_10__task_01__episode_06__overlap_unconditioned,6,11,free_space,90b659f8d7dc8af4db105846364bf1d24672c20601b9914e27a4d00295e1cb03,10,95.08972799812909,55.56377999891993,78.14651499938918,1.0043480396270752,3,7,0.6131171461743083,0.20581073077826953,2.0370999991428107,True,False,False,,1,1,0,1,0,21.749999999999996,15.0,6.066300004022196,True,True,0.1638597304656754,0.1558638934916706
row_01440__single_block,11,1440,libero_10,1,overlap_unconditioned,libero_10__task_01__episode_06,libero_10__task_01__episode_06__overlap_unconditioned,6,11,single_block,90b659f8d7dc8af4db105846364bf1d24672c20601b9914e27a4d00295e1cb03,10,95.08972799812909,55.56377999891993,78.14651499938918,1.0043480396270752,3,7,0.6131171461743083,0.20581073077826953,2.413100010016933,True,False,False,,1,1,0,1,0,21.749999999999996,15.0,6.014100013999268,True,True,0.1638597304656754,0.1558638934916706
row_01440__narrow_gate,11,1440,libero_10,1,overlap_unconditioned,libero_10__task_01__episode_06,libero_10__task_01__episode_06__overlap_unconditioned,6,11,narrow_gate,90b659f8d7dc8af4db105846364bf1d24672c20601b9914e27a4d00295e1cb03,10,95.08972799812909,55.56377999891993,78.14651499938918,1.0043480396270752,3,7,0.6131171461743083,0.20581073077826953,2.059300008113496,True,False,False,,1,1,0,1,0,21.749999999999996,15.0,6.07750000199303,True,True,0.1638597304656754,0.1558638934916706
row_00956__free_space,12,956,libero_10,1,projected_overlap,libero_10__task_01__episode_02,libero_10__task_01__episode_02__projected_overlap,2,32,free_space,36e125b530a0d227df42bc22392771099686acbc4843d7e2b3b1c22c335b5577,10,77.89128000149503,54.52545199659653,77.01993800583296,1.0004535913467407,3,9,0.6851860918658279,0.21387355539012792,2.1852999925613403,True,False,False,,1,1,0,1,0,21.749999999999996,15.0,7.521300009102561,True,True,0.20270281107116714,0.2003215359848865
row_00956__single_block,12,956,libero_10,1,projected_overlap,libero_10__task_01__episode_02,libero_10__task_01__episode_02__projected_overlap,2,32,single_block,36e125b530a0d227df42bc22392771099686acbc4843d7e2b3b1c22c335b5577,10,77.89128000149503,54.52545199659653,77.01993800583296,1.0004535913467407,3,9,0.6851860918658279,0.21387355539012792,2.43649999902118,True,False,False,,1,1,0,1,0,21.749999999999996,15.0,7.018899996182881,True,True,0.20270281107116714,0.2003215359848865
row_00956__narrow_gate,12,956,libero_10,1,projected_overlap,libero_10__task_01__episode_02,libero_10__task_01__episode_02__projected_overlap,2,32,narrow_gate,36e125b530a0d227df42bc22392771099686acbc4843d7e2b3b1c22c335b5577,10,77.89128000149503,54.52545199659653,77.01993800583296,1.0004535913467407,3,9,0.6851860918658279,0.21387355539012792,2.3607000039191917,True,False,False,,1,1,0,1,0,21.749999999999996,15.0,7.908600004157051,True,True,0.20270281107116714,0.2003215359848865
row_01145__free_space,13,1145,libero_10,1,projected_overlap,libero_10__task_01__episode_04,libero_10__task_01__episode_04__projected_overlap,4,25,free_space,90a94f4e8f6685f2f42683556499e5c5e8807d3a0dc2bdd41422dba02c9a528e,10,86.79158599989023,55.75400000088848,78.307568001037,1.0013339519500732,1,2,0.24064636684051197,0.21743772198345124,2.6944999990519136,True,False,False,,1,1,0,1,0,21.749999999999996,15.0,4.81450000370387,True,True,0.13501236540095415,0.13293529969000742
row_01145__single_block,13,1145,libero_10,1,projected_overlap,libero_10__task_01__episode_04,libero_10__task_01__episode_04__projected_overlap,4,25,single_block,90a94f4e8f6685f2f42683556499e5c5e8807d3a0dc2bdd41422dba02c9a528e,10,86.79158599989023,55.75400000088848,78.307568001037,1.0013339519500732,1,2,0.24064636684051197,0.21743772198345124,1.942199989571236,True,False,False,,1,1,0,1,0,21.749999999999996,15.0,5.262199993012473,True,True,0.13501236540095415,0.13293529969000742
row_01145__narrow_gate,13,1145,libero_10,1,projected_overlap,libero_10__task_01__episode_04,libero_10__task_01__episode_04__projected_overlap,4,25,narrow_gate,90a94f4e8f6685f2f42683556499e5c5e8807d3a0dc2bdd41422dba02c9a528e,10,86.79158599989023,55.75400000088848,78.307568001037,1.0013339519500732,1,2,0.24064636684051197,0.21743772198345124,2.020500003709458,True,False,False,,1,1,0,1,0,21.749999999999996,15.0,5.095700005767867,True,True,0.13501236540095415,0.13293529969000742
row_01507__free_space,14,1507,libero_10,1,projected_overlap,libero_10__task_01__episode_06,libero_10__task_01__episode_06__projected_overlap,6,28,free_space,bbb229a5c7dd16db9f94a2b04dc35e324bb2ff7cb84be61fbc89bfddc8b615f6,10,79.14954399893759,55.79188800038537,78.4204369992949,1.0025861263275146,5,0,0.019280725711136117,0.19497386325586605,2.355600008741021,True,False,False,,0,0,0,0,0,6.915993549757233,6.915993549757233,5.243499996140599,True,True,0.12077960174602381,0.12077960174602381
row_01507__single_block,14,1507,libero_10,1,projected_overlap,libero_10__task_01__episode_06,libero_10__task_01__episode_06__projected_overlap,6,28,single_block,bbb229a5c7dd16db9f94a2b04dc35e324bb2ff7cb84be61fbc89bfddc8b615f6,10,79.14954399893759,55.79188800038537,78.4204369992949,1.0025861263275146,5,0,0.019280725711136117,0.19497386325586605,2.406699990388006,True,False,False,,0,0,0,0,0,6.915993549757233,6.915993549757233,5.262999999104068,True,True,0.12077960174602381,0.12077960174602381
row_01507__narrow_gate,14,1507,libero_10,1,projected_overlap,libero_10__task_01__episode_06,libero_10__task_01__episode_06__projected_overlap,6,28,narrow_gate,bbb229a5c7dd16db9f94a2b04dc35e324bb2ff7cb84be61fbc89bfddc8b615f6,10,79.14954399893759,55.79188800038537,78.4204369992949,1.0025861263275146,5,0,0.019280725711136117,0.19497386325586605,2.001899993047118,True,False,False,,0,0,0,0,0,6.915993549757233,6.915993549757233,5.104700001538731,True,True,0.12077960174602381,0.12077960174602381
row_01086__free_space,15,1086,libero_10,1,rtc_guided_overlap,libero_10__task_01__episode_03,libero_10__task_01__episode_03__rtc_guided_overlap,3,15,free_space,ec0b512f5237264f17920ba443591c65816424db89d62988e93a55b93263be6c,10,108.5581090010237,71.99175500136334,107.68996200204128,1.0054670572280884,10,10,0.7143416866834268,0.1711568809535786,1.9944999949075282,True,False,False,,1,1,0,1,0,21.749999999999996,15.0,5.636600006255321,True,True,0.15534463873820112,0.14874231060358842
row_01086__single_block,15,1086,libero_10,1,rtc_guided_overlap,libero_10__task_01__episode_03,libero_10__task_01__episode_03__rtc_guided_overlap,3,15,single_block,ec0b512f5237264f17920ba443591c65816424db89d62988e93a55b93263be6c,10,108.5581090010237,71.99175500136334,107.68996200204128,1.0054670572280884,10,10,0.7143416866834268,0.1711568809535786,2.1397999953478575,True,False,False,,1,1,0,1,0,21.749999999999996,15.0,5.684799994924106,True,True,0.15534463873820112,0.14874231060358842
row_01086__narrow_gate,15,1086,libero_10,1,rtc_guided_overlap,libero_10__task_01__episode_03,libero_10__task_01__episode_03__rtc_guided_overlap,3,15,narrow_gate,ec0b512f5237264f17920ba443591c65816424db89d62988e93a55b93263be6c,10,108.5581090010237,71.99175500136334,107.68996200204128,1.0054670572280884,10,10,0.7143416866834268,0.1711568809535786,1.9976999901700765,True,False,False,,1,1,0,1,0,21.749999999999996,15.0,5.963300005532801,True,True,0.15534463873820112,0.14874231060358842
row_01191__free_space,16,1191,libero_10,1,rtc_guided_overlap,libero_10__task_01__episode_04,libero_10__task_01__episode_04__rtc_guided_overlap,4,20,free_space,fe4e8eff87997b03854846e36c1e04bb16804ba893b79e3bb4085372c986e9a7,10,107.11069100216264,71.17197299521649,106.31029299838701,1.0040584802627563,8,10,0.323525448698753,0.18141727818090872,2.2475000005215406,True,False,False,,1,1,0,1,0,23.40744946519909,15.0,7.085200006258674,True,True,0.3218877605545671,0.3148992240662159
row_01191__single_block,16,1191,libero_10,1,rtc_guided_overlap,libero_10__task_01__episode_04,libero_10__task_01__episode_04__rtc_guided_overlap,4,20,single_block,fe4e8eff87997b03854846e36c1e04bb16804ba893b79e3bb4085372c986e9a7,10,107.11069100216264,71.17197299521649,106.31029299838701,1.0040584802627563,8,10,0.323525448698753,0.18141727818090872,2.0557999960146844,True,False,False,,1,1,0,1,0,23.40744946519909,15.0,8.144999999785796,True,True,0.3218877605545671,0.3148992240662159
row_01191__narrow_gate,16,1191,libero_10,1,rtc_guided_overlap,libero_10__task_01__episode_04,libero_10__task_01__episode_04__rtc_guided_overlap,4,20,narrow_gate,fe4e8eff87997b03854846e36c1e04bb16804ba893b79e3bb4085372c986e9a7,10,107.11069100216264,71.17197299521649,106.31029299838701,1.0040584802627563,8,10,0.323525448698753,0.18141727818090872,2.0001999946543947,True,False,False,,1,1,0,1,0,23.40744946519909,15.0,6.975800002692267,True,True,0.3218877605545671,0.3148992240662159
row_01307__free_space,17,1307,libero_10,1,rtc_guided_overlap,libero_10__task_01__episode_05,libero_10__task_01__episode_05__rtc_guided_overlap,5,26,free_space,aeecabb235ae92f2f61bc92716310007ea6615ccf856db6a5ec6520ccc509c45,10,108.09741300181486,71.28860499506118,107.24835199653171,1.0030616521835327,3,5,0.41241175165790156,0.21743772198345124,2.1249999990686774,True,False,False,,1,1,0,1,0,21.749999999999996,15.0,6.765999991330318,True,True,0.09615427134887645,0.0892231051257267
row_01307__single_block,17,1307,libero_10,1,rtc_guided_overlap,libero_10__task_01__episode_05,libero_10__task_01__episode_05__rtc_guided_overlap,5,26,single_block,aeecabb235ae92f2f61bc92716310007ea6615ccf856db6a5ec6520ccc509c45,10,108.09741300181486,71.28860499506118,107.24835199653171,1.0030616521835327,3,5,0.41241175165790156,0.21743772198345124,2.248200005851686,True,False,False,,1,1,0,1,0,21.749999999999996,15.0,5.76569999975618,True,True,0.09615427134887645,0.0892231051257267
row_01307__narrow_gate,17,1307,libero_10,1,rtc_guided_overlap,libero_10__task_01__episode_05,libero_10__task_01__episode_05__rtc_guided_overlap,5,26,narrow_gate,aeecabb235ae92f2f61bc92716310007ea6615ccf856db6a5ec6520ccc509c45,10,108.09741300181486,71.28860499506118,107.24835199653171,1.0030616521835327,3,5,0.41241175165790156,0.21743772198345124,2.0908000005874783,True,False,False,,1,1,0,1,0,21.749999999999996,15.0,6.217000001925044,True,True,0.09615427134887645,0.0892231051257267
