schema_version,case_id,payload_mass_kg,joint_damping_scale,velocity_profile,initial_velocity_rad_s,validated,failure_reason,stop_time_s,stopping_distance_l2_rad,max_joint_stopping_distance_rad,max_torque_ratio,evaluated_samples,latency_ms
armbench.dynamics_braking_audit.v1,payload_00.5kg__damping_00.5x__stationary,0.5,0.5,stationary,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0]",True,,0.0,0.0,0.0,0.3448373222373399,1,2.8703999996650964
armbench.dynamics_braking_audit.v1,payload_00.5kg__damping_00.5x__low_forward,0.5,0.5,low_forward,"[0.25,-0.2,0.15,-0.125,0.1,-0.075,0.05]",True,,0.05,0.00996086090656832,0.0062499999999999995,0.35067014099433447,6,18.58839998021722
armbench.dynamics_braking_audit.v1,payload_00.5kg__damping_00.5x__low_reverse,0.5,0.5,low_reverse,"[-0.25,0.2,-0.15,0.125,-0.1,0.075,-0.05]",True,,0.05,0.00996086090656832,0.0062499999999999995,0.3478872332897359,6,21.553500002482906
armbench.dynamics_braking_audit.v1,payload_00.5kg__damping_00.5x__high_forward,0.5,0.5,high_forward,"[1.0,-0.8,0.6,-0.5,0.4,-0.3,0.2]",True,,0.2,0.1593737745050924,0.09999999999999999,0.3561053262520003,21,84.47490000980906
armbench.dynamics_braking_audit.v1,payload_00.5kg__damping_00.5x__high_reverse,0.5,0.5,high_reverse,"[-1.0,0.8,-0.6,0.5,-0.4,0.3,-0.2]",True,,0.2,0.1593737745050924,0.09999999999999999,0.3506928609773151,21,82.6799999922514
armbench.dynamics_braking_audit.v1,payload_00.5kg__damping_01.0x__stationary,0.5,1.0,stationary,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0]",True,,0.0,0.0,0.0,0.3448373222373399,1,2.9393999720923603
armbench.dynamics_braking_audit.v1,payload_00.5kg__damping_01.0x__low_forward,0.5,1.0,low_forward,"[0.25,-0.2,0.15,-0.125,0.1,-0.075,0.05]",True,,0.05,0.00996086090656832,0.0062499999999999995,0.3498888909943344,6,20.099799992749467
armbench.dynamics_braking_audit.v1,payload_00.5kg__damping_01.0x__low_reverse,0.5,1.0,low_reverse,"[-0.25,0.2,-0.15,0.125,-0.1,0.075,-0.05]",True,,0.05,0.00996086090656832,0.0062499999999999995,0.34872616503573756,6,21.961199992801994
armbench.dynamics_braking_audit.v1,payload_00.5kg__damping_01.0x__high_forward,0.5,1.0,high_forward,"[1.0,-0.8,0.6,-0.5,0.4,-0.3,0.2]",True,,0.2,0.1593737745050924,0.09999999999999999,0.3553240762520003,21,79.03560000704601
armbench.dynamics_braking_audit.v1,payload_00.5kg__damping_01.0x__high_reverse,0.5,1.0,high_reverse,"[-1.0,0.8,-0.6,0.5,-0.4,0.3,-0.2]",True,,0.2,0.1593737745050924,0.09999999999999999,0.35174019966944886,21,75.96039999043569
armbench.dynamics_braking_audit.v1,payload_00.5kg__damping_02.0x__stationary,0.5,2.0,stationary,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0]",True,,0.0,0.0,0.0,0.3448373222373399,1,3.4471999970264733
armbench.dynamics_braking_audit.v1,payload_00.5kg__damping_02.0x__low_forward,0.5,2.0,low_forward,"[0.25,-0.2,0.15,-0.125,0.1,-0.075,0.05]",True,,0.05,0.00996086090656832,0.0062499999999999995,0.34832639099433443,6,22.65220001572743
armbench.dynamics_braking_audit.v1,payload_00.5kg__damping_02.0x__low_reverse,0.5,2.0,low_reverse,"[-0.25,0.2,-0.15,0.125,-0.1,0.075,-0.05]",True,,0.05,0.00996086090656832,0.0062499999999999995,0.3505221420472318,6,48.05099999066442
armbench.dynamics_braking_audit.v1,payload_00.5kg__damping_02.0x__high_forward,0.5,2.0,high_forward,"[1.0,-0.8,0.6,-0.5,0.4,-0.3,0.2]",True,,0.2,0.1593737745050924,0.09999999999999999,0.35376157625200033,21,212.3338999808766
armbench.dynamics_braking_audit.v1,payload_00.5kg__damping_02.0x__high_reverse,0.5,2.0,high_reverse,"[-1.0,0.8,-0.6,0.5,-0.4,0.3,-0.2]",True,,0.2,0.1593737745050924,0.09999999999999999,0.3557178581184387,21,203.33590000518598
armbench.dynamics_braking_audit.v1,payload_01.0kg__damping_00.5x__stationary,1.0,0.5,stationary,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0]",True,,0.0,0.0,0.0,0.37844907024430996,1,4.761199990753084
armbench.dynamics_braking_audit.v1,payload_01.0kg__damping_00.5x__low_forward,1.0,0.5,low_forward,"[0.25,-0.2,0.15,-0.125,0.1,-0.075,0.05]",True,,0.05,0.00996086090656832,0.0062499999999999995,0.4178667532469437,6,66.60069999634288
armbench.dynamics_braking_audit.v1,payload_01.0kg__damping_00.5x__low_reverse,1.0,0.5,low_reverse,"[-0.25,0.2,-0.15,0.125,-0.1,0.075,-0.05]",True,,0.05,0.00996086090656832,0.0062499999999999995,0.3801195000455217,6,62.008799985051155
armbench.dynamics_braking_audit.v1,payload_01.0kg__damping_00.5x__high_forward,1.0,0.5,high_forward,"[1.0,-0.8,0.6,-0.5,0.4,-0.3,0.2]",True,,0.2,0.1593737745050924,0.09999999999999999,0.4245429389112456,21,223.0087000061758
armbench.dynamics_braking_audit.v1,payload_01.0kg__damping_00.5x__high_reverse,1.0,0.5,high_reverse,"[-1.0,0.8,-0.6,0.5,-0.4,0.3,-0.2]",True,,0.2,0.1593737745050924,0.09999999999999999,0.3831369031865752,21,231.73139998107217
armbench.dynamics_braking_audit.v1,payload_01.0kg__damping_01.0x__stationary,1.0,1.0,stationary,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0]",True,,0.0,0.0,0.0,0.37844907024430996,1,9.822699998039752
armbench.dynamics_braking_audit.v1,payload_01.0kg__damping_01.0x__low_forward,1.0,1.0,low_forward,"[0.25,-0.2,0.15,-0.125,0.1,-0.075,0.05]",True,,0.05,0.00996086090656832,0.0062499999999999995,0.4170855032469437,6,84.75589999579825
armbench.dynamics_braking_audit.v1,payload_01.0kg__damping_01.0x__low_reverse,1.0,1.0,low_reverse,"[-0.25,0.2,-0.15,0.125,-0.1,0.075,-0.05]",True,,0.05,0.00996086090656832,0.0062499999999999995,0.3808661677605895,6,80.95529998536222
armbench.dynamics_braking_audit.v1,payload_01.0kg__damping_01.0x__high_forward,1.0,1.0,high_forward,"[1.0,-0.8,0.6,-0.5,0.4,-0.3,0.2]",True,,0.2,0.1593737745050924,0.09999999999999999,0.4237616889112456,21,251.0619999957271
armbench.dynamics_braking_audit.v1,payload_01.0kg__damping_01.0x__high_reverse,1.0,1.0,high_reverse,"[-1.0,0.8,-0.6,0.5,-0.4,0.3,-0.2]",True,,0.2,0.1593737745050924,0.09999999999999999,0.3839843704193296,21,267.9587999882642
armbench.dynamics_braking_audit.v1,payload_01.0kg__damping_02.0x__stationary,1.0,2.0,stationary,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0]",True,,0.0,0.0,0.0,0.37844907024430996,1,6.297300016740337
armbench.dynamics_braking_audit.v1,payload_01.0kg__damping_02.0x__low_forward,1.0,2.0,low_forward,"[0.25,-0.2,0.15,-0.125,0.1,-0.075,0.05]",True,,0.05,0.00996086090656832,0.0062499999999999995,0.41552300324694375,6,43.78180002095178
armbench.dynamics_braking_audit.v1,payload_01.0kg__damping_02.0x__low_reverse,1.0,2.0,low_reverse,"[-0.25,0.2,-0.15,0.125,-0.1,0.075,-0.05]",True,,0.05,0.00996086090656832,0.0062499999999999995,0.38266214477208377,6,53.5055999935139
armbench.dynamics_braking_audit.v1,payload_01.0kg__damping_02.0x__high_forward,1.0,2.0,high_forward,"[1.0,-0.8,0.6,-0.5,0.4,-0.3,0.2]",True,,0.2,0.1593737745050924,0.09999999999999999,0.42219918891124564,21,220.45039999647997
armbench.dynamics_braking_audit.v1,payload_01.0kg__damping_02.0x__high_reverse,1.0,2.0,high_reverse,"[-1.0,0.8,-0.6,0.5,-0.4,0.3,-0.2]",True,,0.2,0.1593737745050924,0.09999999999999999,0.38727678932841736,21,176.82769999373704
